Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	Entry		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN		All_Pathways		ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
MPCP_MOUSE	Phosphate carrier protein, mitochondrial OS=Mus musculus GN=Slc25a3 PE=1 SV=1	40 kDa	0.0018	Q8VEM8		5.7428	6.0587	4.3856	5.8235	5.6074	5.5236	0.9828	6.0587	4.3856	3.5051	3.7331	0	0	2.0203	0	0.5051	6.5194	4.7919	2.6749	4.6621																	
RS25_MOUSE	40S ribosomal protein S25 OS=Mus musculus GN=Rps25 PE=2 SV=1	14 kDa	0.0018	P62852		0	0.8655	0	0	2.243	0.6217	0	0.8655	0	0	0.2164	2.8426	2.7968	4.0406	3.6735	3.3384	0	0	2.6749	0.8916																	
RAB7A_MOUSE	Ras-related protein Rab-7a OS=Mus musculus GN=Rab7a PE=1 SV=2	23 kDa	0.002	P51150		0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0.9476	0.9323	1.0101	1.2245	1.0286	1.6298	2.3959	0.8917	1.6391																	
PROF1_MOUSE	Profilin-1 OS=Mus musculus GN=Pfn1 PE=1 SV=2	15 kDa	0.0021	P62962		17.229	24.235	10.964	24.459	31.401	21.6576	18.674	24.235	10.964	18.694	18.1418	32.217	36.358	32.324	31.837	33.184	35.856	32.744	37.449	35.3497		Cytoskeleton					Cytoskeleton										
RHOA_MOUSE	Transforming protein RhoA OS=Mus musculus GN=Rhoa PE=1 SV=1	22 kDa	0.0021	Q9QUI0		0	0	0	0	0	0	0	0	0	0	0	0	0	1.0101	0	0.2525	3.2597	1.5973	0.8917	1.9162		Chemokine_Cytokine_Signaling, Integrin				Chemokine_Cytokine_Signaling							Integrin				
CALM_MOUSE	Calmodulin OS=Mus musculus GN=Calm1 PE=1 SV=2	17 kDa	0.0022	P62204		2.8714	6.0587	2.1928	2.3294	7.8504	4.2605	0.9828	6.0587	2.1928	4.6734	3.4769	12.318	13.052	8.0811	14.694	12.0363	7.3343	1.5973	6.2415	5.0577																	
ADT2_MOUSE	ADP/ATP translocase 2 OS=Mus musculus GN=Slc25a5 PE=1 SV=3	33 kDa	0.0023	P51881		7.6571	11.252	13.157	6.9882	10.093	9.8295	9.8283	11.252	13.157	12.852	11.7723	5.6853	5.5935	5.0507	6.1225	5.613	8.9641	11.98	10.7	10.548																	
CSPG4_MOUSE	Chondroitin sulfate proteoglycan 4 OS=Mus musculus GN=Cspg4 PE=1 SV=3	252 kDa	0.0025	Q8VHY0		2.8714	0.8655	1.0964	0	0	0.9667	0	0.8655	1.0964	0	0.4905	0.9476	0.9323	0	1.2245	0.7761	2.4448	3.9932	5.3499	3.9293																	
PGS2_MOUSE	Decorin OS=Mus musculus GN=Dcn PE=2 SV=1	40 kDa	0.0027	P28654		4.7857	5.1931	6.5785	6.9882	4.4859	5.6063	12.777	5.1931	6.5785	5.8418	7.5976	13.266	14.916	10.101	11.02	12.3258	5.7044	4.7919	6.2415	5.5793																	
ATPA_MOUSE	ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1	60 kDa	0.003	Q03265		37.328	40.68	40.567	41.929	32.523	38.6054	40.296	40.68	40.567	46.734	42.0693	39.797	36.358	37.375	45.306	39.709	27.707	21.563	32.991	27.4203		ATP_Synthesis		ATP_Synthesis													
CAN2_MOUSE	Calpain-2 catalytic subunit OS=Mus musculus GN=Capn2 PE=2 SV=4	80 kDa	0.0031	O08529		0	1.731	1.0964	1.1647	1.1215	1.0227	0.9828	1.731	1.0964	0	0.9526	2.8426	4.6613	1.0101	2.449	2.7408	5.7044	5.5905	2.6749	4.6566		Huntington										Huntington					
DLDH_MOUSE	Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2	54 kDa	0.0057	O08749		4.7857	5.1931	5.4821	3.4941	4.4859	4.6882	2.9485	5.1931	5.4821	4.6734	4.5743	2.8426	4.6613	2.0203	4.898	3.6056	2.4448	0.7987	0.8917	1.3784																	
PRDX1_MOUSE	Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1	22 kDa	0.0058	P35700		10.529	13.848	15.35	15.141	17.944	14.5624	1.9657	13.848	15.35	9.3469	10.1277	20.846	19.577	21.213	20.816	20.613	19.558	16.772	23.183	19.8377																	
TAGL_MOUSE	Transgelin OS=Mus musculus GN=Tagln PE=1 SV=3	23 kDa	0.0059	P37804		77.528	83.956	76.749	94.34	152.52	97.0186	53.073	83.956	76.749	72.438	71.554	135.5	134.24	152.53	165.31	146.895	136.09	88.65	153.36	126.0333																	
A1AT1_MOUSE	Alpha-1-antitrypsin 1-1 OS=Mus musculus GN=Serpina1a PE=1 SV=4	46 kDa	0.0063	P07758		10.529	6.9242	14.253	17.47	5.6074	10.9567	6.8798	6.9242	14.253	17.525	11.3955	15.161	13.984	17.172	17.143	15.865	2.4448	2.3959	1.7833	2.208		Blood_Coagulation			Blood_Coagulation												
TBB4B_MOUSE	Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1	50 kDa	0.0075	P68372		51.686	57.99	55.917	57.07	41.495	52.8316	90.421	57.99	55.917	82.953	71.8203	62.538	58.732	58.588	60	59.9645	31.782	32.744	49.041	37.8557		Cytoskeleton, Huntington					Cytoskeleton					Huntington					
AK1A1_MOUSE	Alcohol dehydrogenase [NADP(+)] OS=Mus musculus GN=Akr1a1 PE=1 SV=3	37 kDa	0.0077	Q9JII6		0.9571	0.8655	1.0964	2.3294	3.3644	1.7226	0	0.8655	1.0964	0	0.4905	0	0	0	0	0	1.6298	1.5973	2.6749	1.9673																	
CAD13_MOUSE	Cadherin-13 OS=Mus musculus GN=Cdh13 PE=1 SV=2	78 kDa	0.0079	Q9WTR5		2.8714	1.731	2.1928	3.4941	1.1215	2.2822	2.9485	1.731	2.1928	2.3367	2.3023	0	0.9323	0	1.2245	0.5392	0.8149	1.5973	0	0.8041																	
GSTM2_MOUSE	Glutathione S-transferase Mu 2 OS=Mus musculus GN=Gstm2 PE=1 SV=2	26 kDa	0.0083	P15626		10.529	13.848	9.8677	13.976	15.701	12.7843	10.811	13.848	9.8677	12.852	11.8447	13.266	13.052	21.213	23.265	17.699	22.818	21.563	18.725	21.0353																	
RAN_MOUSE	GTP-binding nuclear protein Ran OS=Mus musculus GN=Ran PE=1 SV=3	24 kDa	0.0087	P62827		0.9571	0	0	1.1647	1.1215	0.6487	0.9828	0	0	0	0.2457	0.9476	0	1.0101	1.2245	0.7955	1.6298	2.3959	1.7833	1.9363																	
PDIA3_MOUSE	Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2	57 kDa	0.0088	P27773		19.143	16.445	14.253	23.294	12.336	17.0942	24.571	16.445	14.253	29.209	21.1195	18.003	15.848	19.193	14.694	16.9345	4.8895	6.3892	8.9165	6.7317																	
GSTM5_MOUSE	Glutathione S-transferase Mu 5 OS=Mus musculus GN=Gstm5 PE=1 SV=1	27 kDa	0.01	P48774		0	0	0	6.9882	0	1.3976	0	0	0	0	0	4.7377	0	0	0	1.1844	6.5194	8.7851	5.3499	6.8848																	
PEBP1_MOUSE	Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3	21 kDa	0.01	P70296		2.8714	3.4621	1.0964	3.4941	4.4859	3.082	1.9657	3.4621	1.0964	3.5051	2.5073	5.6853	7.458	7.071	8.5714	7.1964	8.1492	1.5973	7.1332	5.6266		EGF, FGF							EGF	FGF							
DEST_MOUSE	Destrin OS=Mus musculus GN=Dstn PE=1 SV=3	19 kDa	0.011	Q9R0P5		2.8714	9.5207	7.6749	5.8235	15.701	8.3183	1.9657	9.5207	7.6749	5.8418	6.2508	21.794	22.374	23.233	19.592	21.7483	24.448	4.7919	32.099	20.4463																	
PGS1_MOUSE	Biglycan OS=Mus musculus GN=Bgn PE=2 SV=1	42 kDa	0.011	P28653		18.186	14.714	21.928	18.635	20.187	18.73	16.708	14.714	21.928	15.189	17.1348	10.423	11.187	11.112	11.02	10.9355	13.854	16.772	23.183	17.9363																	
A1AT4_MOUSE	Alpha-1-antitrypsin 1-4 OS=Mus musculus GN=Serpina1d PE=2 SV=1	46 kDa	0.012	Q00897		14.357	10.386	20.832	22.129	10.093	15.5594	8.8455	10.386	20.832	18.694	14.6894	12.318	10.255	17.172	15.918	13.9158	3.2597	2.3959	1.7833	2.4796		Blood_Coagulation			Blood_Coagulation												
FHL1_MOUSE	Four and a half LIM domains protein 1 OS=Mus musculus GN=Fhl1 PE=1 SV=3	32 kDa	0.013	P97447		17.229	13.848	19.735	11.647	26.916	17.875	7.8627	13.848	19.735	15.189	14.1587	10.423	9.3226	7.071	6.1225	8.2348	26.892	24.758	16.05	22.5667																	
PDC6I_MOUSE	Programmed cell death 6-interacting protein OS=Mus musculus GN=Pdcd6ip PE=1 SV=3	96 kDa	0.013	Q9WU78		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5973	2.6749	1.4241																	
PGK1_MOUSE	Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4	45 kDa	0.013	P09411		1.9143	0.8655	1.0964	0	2.243	1.2238	3.9313	0.8655	1.0964	2.3367	2.0575	0.9476	1.8645	1.0101	0	0.9555	4.0746	5.5905	2.6749	4.1133		Glycolysis									Glycolysis						
ARPC3_MOUSE	Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3	21 kDa	0.014	Q9JM76		0.9571	0.8655	0	1.1647	3.3644	1.2704	0	0.8655	0	2.3367	0.8006	2.8426	4.6613	4.0406	3.6735	3.8045	2.4448	0	2.6749	1.7066		Chemokine_Cytokine_Signaling, Cytoskeleton, Integrin				Chemokine_Cytokine_Signaling	Cytoskeleton						Integrin				
CO1A1_MOUSE	Collagen alpha-1(I) chain OS=Mus musculus GN=Col1a1 PE=1 SV=4	138 kDa	0.014	P11087		1.9143	1.731	1.0964	1.1647	0	1.1813	3.9313	1.731	1.0964	2.3367	2.2739	0	0	0	0	0	0	1.5973	0.8917	0.8297		Integrin											Integrin				
COIA1_MOUSE	Collagen alpha-1(XVIII) chain OS=Mus musculus GN=Col18a1 PE=1 SV=4	182 kDa	0.014	P39061		7.6571	7.7897	6.5785	5.8235	7.8504	7.1398	4.9142	7.7897	6.5785	7.0101	6.5731	6.6328	6.5258	8.0811	4.898	6.5344	8.9641	11.98	8.9165	9.9535		Integrin											Integrin				
RRAS_MOUSE	Ras-related protein R-Ras OS=Mus musculus GN=Rras PE=2 SV=1	24 kDa	0.014	P10833		0.9571	8.6552	6.5785	4.6588	11.215	6.4129	3.9313	8.6552	6.5785	4.6734	5.9596	7.5804	4.6613	9.0913	9.7959	7.7822	13.854	14.376	12.483	13.571		Chemokine_Cytokine_Signaling, EGF, Integrin				Chemokine_Cytokine_Signaling			EGF				Integrin				
COF1_MOUSE	Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3	19 kDa	0.015	P18760		4.7857	5.1931	5.4821	4.6588	6.7289	5.3697	3.9313	5.1931	5.4821	8.1785	5.6963	12.318	11.187	11.112	7.3469	10.491	8.1492	1.5973	8.0248	5.9238																	
LEG1_MOUSE	Galectin-1 OS=Mus musculus GN=Lgals1 PE=1 SV=3	15 kDa	0.015	P16045		7.6571	9.5207	6.5785	9.3175	15.701	9.755	6.8798	9.5207	6.5785	11.684	8.6658	15.161	13.984	13.132	13.469	13.9365	12.224	15.973	20.508	16.235																	
MFGM_MOUSE	Lactadherin OS=Mus musculus GN=Mfge8 PE=1 SV=3	51 kDa	0.015	P21956		3.8286	4.3276	5.4821	4.6588	3.3644	4.3323	4.9142	4.3276	5.4821	7.0101	5.4335	2.8426	3.729	4.0406	4.898	3.8776	0.8149	3.9932	1.7833	2.1971																	
PDIA4_MOUSE	Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3	72 kDa	0.015	P08003		2.8714	1.731	1.0964	1.1647	2.243	1.8213	0.9828	1.731	1.0964	0	0.9526	3.7902	2.7968	3.0304	1.2245	2.7105	0.8149	0.7987	0	0.5379																	
K2C5_MOUSE	Keratin, type II cytoskeletal 5 OS=Mus musculus GN=Krt5 PE=1 SV=1	62 kDa	0.016	Q922U2		23.929	34.621	32.892	54.741	23.551	33.9468	34.399	34.621	32.892	36.219	34.5328	39.797	39.155	48.487	58.776	46.5538	22.003	15.174	23.183	20.12																	
GPX1_MOUSE	Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=1 SV=2	22 kDa	0.017	P11352		0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0.9476	0	1.0101	0	0.4894	1.6298	1.5973	0.8917	1.3729																	
MYL6_MOUSE	Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 PE=1 SV=3	17 kDa	0.017	Q60605		40.2	35.486	25.217	38.435	66.167	41.101	32.433	35.486	25.217	60.755	38.4728	84.332	66.19	74.75	57.551	70.7058	51.34	39.932	32.099	41.1237																	
NACAM_MOUSE	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus GN=Naca PE=1 SV=2	220 kDa	0.018	P70670		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8149	1.5973	0	0.8041																	
RLA2_MOUSE	60S acidic ribosomal protein P2 OS=Mus musculus GN=Rplp2 PE=1 SV=3	12 kDa	0.018	P99027		3.8286	2.5966	2.1928	3.4941	3.3644	3.0953	1.9657	2.5966	2.1928	3.5051	2.5651	2.8426	2.7968	3.0304	2.449	2.7797	2.4448	0.7987	0	1.0812																	
TBB2A_MOUSE	Tubulin beta-2A chain OS=Mus musculus GN=Tubb2a PE=1 SV=1	50 kDa	0.018	Q7TMM9		37.328	46.738	38.374	45.423	34.766	40.5258	81.575	46.738	38.374	57.249	55.984	50.22	41.951	39.395	41.633	43.2998	21.188	24.758	31.208	25.718		Cytoskeleton, Huntington					Cytoskeleton					Huntington					
PDIA1_MOUSE	Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2	57 kDa	0.019	P09103		12.443	9.5207	15.35	12.812	3.3644	10.698	10.811	9.5207	15.35	10.515	11.5492	9.4755	12.119	10.101	6.1225	9.4545	0.8149	3.9932	3.5666	2.7916																	
A1AT2_MOUSE	Alpha-1-antitrypsin 1-2 OS=Mus musculus GN=Serpina1b PE=1 SV=2	46 kDa	0.02	P22599		10.529	7.7897	16.446	18.635	6.7289	12.0257	6.8798	7.7897	16.446	17.525	12.1601	13.266	10.255	17.172	15.918	14.1528	2.4448	2.3959	1.7833	2.208		Blood_Coagulation			Blood_Coagulation												
K2C79_MOUSE	Keratin, type II cytoskeletal 79 OS=Mus musculus GN=Krt79 PE=2 SV=2	58 kDa	0.02	Q8VED5		13.4	21.638	19.735	33.776	16.822	21.0742	17.691	21.638	19.735	25.704	21.192	27.479	20.51	33.335	33.061	28.5963	10.594	11.181	14.266	12.0137																	
PGM5_MOUSE	Phosphoglucomutase-like protein 5 OS=Mus musculus GN=Pgm5 PE=1 SV=2	62 kDa	0.021	Q8BZF8		20.1	24.235	18.639	26.788	8.9719	19.7468	15.725	24.235	18.639	31.546	22.5363	36.007	31.697	30.304	31.837	32.4613	35.856	28.751	26.749	30.452																	
RAB10_MOUSE	Ras-related protein Rab-10 OS=Mus musculus GN=Rab10 PE=1 SV=1	23 kDa	0.021	P61027		2.8714	3.4621	2.1928	4.6588	1.1215	2.8613	0	3.4621	2.1928	0	1.4137	3.7902	3.729	5.0507	4.898	4.367	4.0746	4.7919	3.5666	4.1444																	
BGH3_MOUSE	Transforming growth factor-beta-induced protein ig-h3 OS=Mus musculus GN=Tgfbi PE=2 SV=1	75 kDa	0.022	P82198		0.9571	0.8655	1.0964	1.1647	2.243	1.2654	4.9142	0.8655	1.0964	3.5051	2.5953	7.5804	5.5935	2.0203	4.898	5.0231	2.4448	1.5973	1.7833	1.9418																	
PSB3_MOUSE	Proteasome subunit beta type-3 OS=Mus musculus GN=Psmb3 PE=1 SV=1	23 kDa	0.022	Q9R1P1		0.9571	0	0	0	0	0.1914	0	0	0	0	0	0.9476	0.9323	0	0	0.47	1.6298	0.7987	0.8917	1.1067		Parkinson													Parkinson		
TPPP3_MOUSE	Tubulin polymerization-promoting protein family member 3 OS=Mus musculus GN=Tppp3 PE=1 SV=1	19 kDa	0.022	Q9CRB6		0.9571	1.731	2.1928	0	4.4859	1.8734	0	1.731	2.1928	0	0.981	4.7377	3.729	5.0507	4.898	4.6039	4.8895	0.7987	4.4582	3.3821																	
ANXA1_MOUSE	Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2	39 kDa	0.023	P10107		19.143	19.041	23.025	17.47	30.28	21.7918	9.8283	19.041	23.025	19.862	17.9391	16.108	8.3903	11.112	2.449	9.5148	22.818	29.55	16.941	23.103																	
FINC_MOUSE	Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=4	273 kDa	0.023	P11276		14.357	11.252	15.35	8.1528	10.093	11.841	3.9313	11.252	15.35	4.6734	8.8017	3.7902	4.6613	4.0406	7.3469	4.9598	11.409	15.174	14.266	13.6163		Integrin											Integrin				
PDLI1_MOUSE	PDZ and LIM domain protein 1 OS=Mus musculus GN=Pdlim1 PE=2 SV=4	36 kDa	0.023	O70400		1.9143	2.5966	2.1928	1.1647	6.7289	2.9195	0	2.5966	2.1928	3.5051	2.0736	1.8951	3.729	3.0304	0	2.1636	8.9641	10.382	3.5666	7.6376																	
RAB5B_MOUSE	Ras-related protein Rab-5B OS=Mus musculus GN=Rab5b PE=1 SV=1	24 kDa	0.024	P61021		0	0	0	4.6588	0	0.9318	0	0	0	0	0	1.8951	1.8645	3.0304	1.2245	2.0036	3.2597	3.1946	3.5666	3.3403																	
TBB5_MOUSE	Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1	50 kDa	0.024	P99024		53.6	57.99	55.917	59.399	42.616	53.9044	116.96	57.99	55.917	87.627	79.6235	62.538	53.139	53.537	52.653	55.4668	35.856	29.55	46.366	37.2573		Cytoskeleton, Huntington					Cytoskeleton					Huntington					
MMSA_MOUSE	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1	58 kDa	0.026	Q9EQ20		1.9143	2.5966	2.1928	2.3294	0	1.8066	0.9828	2.5966	2.1928	3.5051	2.3193	2.8426	0.9323	4.0406	4.898	3.1784	0	0	0	0																	
RAB1A_MOUSE	Ras-related protein Rab-1A OS=Mus musculus GN=Rab1A PE=1 SV=3	23 kDa	0.027	P62821		1.9143	3.4621	0	3.4941	0	1.7741	0	3.4621	0	0	0.8655	2.8426	2.7968	4.0406	6.1225	3.9506	4.0746	6.3892	3.5666	4.6768																	
SMTN_MOUSE	Smoothelin OS=Mus musculus GN=Smtn PE=2 SV=2	100 kDa	0.027	Q921U8		6.7	4.3276	1.0964	4.6588	2.243	3.8052	3.9313	4.3276	1.0964	3.5051	3.2151	4.7377	4.6613	4.0406	1.2245	3.666	12.224	10.382	4.4582	9.0214																	
UBC_MOUSE	Polyubiquitin-C OS=Mus musculus GN=Ubc PE=1 SV=2	83 kDa	0.027	P0CG50		6.7	6.9242	7.6749	9.3175	6.7289	7.4691	3.9313	6.9242	7.6749	8.1785	6.6772	9.4755	7.458	9.0913	7.3469	8.3429	8.1492	11.98	12.483	10.8707																	
AOC3_MOUSE	Membrane primary amine oxidase OS=Mus musculus GN=Aoc3 PE=2 SV=3	85 kDa	0.028	O70423		10.529	12.117	13.157	11.647	12.336	11.9572	10.811	12.117	13.157	3.5051	9.8975	15.161	12.119	15.152	17.143	14.8938	16.298	17.57	14.266	16.0447																	
RHOC_MOUSE	Rho-related GTP-binding protein RhoC OS=Mus musculus GN=Rhoc PE=1 SV=2	22 kDa	0.028	Q62159		0	0	0	0	0	0	0	0	0	0	0	0	0.9323	0	0	0.2331	3.2597	0	1.7833	1.681		Chemokine_Cytokine_Signaling, Cytoskeleton, Integrin				Chemokine_Cytokine_Signaling	Cytoskeleton						Integrin				
RL22_MOUSE	60S ribosomal protein L22 OS=Mus musculus GN=Rpl22 PE=2 SV=2	15 kDa	0.031	P67984		0	1.731	0	1.1647	1.1215	0.8034	0	1.731	0	1.1684	0.7249	1.8951	2.7968	3.0304	2.449	2.5428	1.6298	2.3959	0	1.3419																	
LKHA4_MOUSE	Leukotriene A-4 hydrolase OS=Mus musculus GN=Lta4h PE=1 SV=4	69 kDa	0.032	P24527		0	0	0	0	0	0	0	0	0	1.1684	0.2921	2.8426	1.8645	0	1.2245	1.4829	0.8149	0.7987	0.8917	0.8351																	
SODM_MOUSE	Superoxide dismutase [Mn], mitochondrial OS=Mus musculus GN=Sod2 PE=1 SV=3	25 kDa	0.033	P09671		0	0	0	1.1647	0	0.2329	0	0	0	0	0	0	1.8645	1.0101	1.2245	1.0248	2.4448	0.7987	0.8917	1.3784																	
G3P_MOUSE	Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2	36 kDa	0.034	P16858		16.271	20.773	21.928	18.635	50.467	25.6148	20.639	20.773	21.928	16.357	19.9243	25.584	20.51	21.213	7.3469	18.6635	44.821	46.321	33.883	41.675		Glycolysis, Huntington									Glycolysis	Huntington					
PRDX3_MOUSE	Thioredoxin-dependent peroxide reductase, mitochondrial OS=Mus musculus GN=Prdx3 PE=1 SV=1	28 kDa	0.034	P20108		0.9571	0.8655	2.1928	0	1.1215	1.0274	0	0.8655	2.1928	3.5051	1.6409	1.8951	2.7968	3.0304	3.6735	2.849	3.2597	3.1946	2.6749	3.0431																	
SBP1_MOUSE	Selenium-binding protein 1 OS=Mus musculus GN=Selenbp1 PE=1 SV=2	53 kDa	0.034	P17563		0	0	0	0	0	0	0	0	0	0	0	2.8426	0.9323	1.0101	0	1.1962	0	0	0	0																	
TBB6_MOUSE	Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1	50 kDa	0.034	Q922F4		21.057	26.831	21.928	24.459	14.579	21.7708	49.142	26.831	21.928	32.714	32.6538	26.531	18.645	25.253	23.265	23.4235	13.854	15.174	16.941	15.323		Cytoskeleton, Huntington					Cytoskeleton					Huntington					
TBB3_MOUSE	 Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1	50 kDa	0.036	Q9ERD7		27.757	32.89	29.603	31.447	24.673	29.274	62.901	32.89	29.603	43.229	42.1558	38.849	31.697	32.324	34.286	34.289	18.743	18.369	27.641	21.5843		Cytoskeleton, Huntington					Cytoskeleton					Huntington					
