Accession_Number	Identified Proteins (551)	Molecular Weight Aorta	Aorta ANOVA Test (P-Value	Classification		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN	Molecular Weight Coro	Coro ANOVA Test (P-Value		18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN	Entry	All_Pathways	Pathway	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle	Gene_names
ABHEB_MOUSE	Alpha/beta hydrolase domain-containing protein 14B OS=Mus musculus GN=Abhd14b PE=2 SV=1	22 kDa	0.81			0.9571	1.731	5.4821	2.3294	1.1215	2.3242	0	1.731	5.4821	1.1684	2.0954	0.9476	1.8645	1.0101	1.2245	1.2617	2.4448	2.3959	0.8917	1.9108	22 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	1.1276	0	0	0	0.2819	0	0	0	0	Q8VCR7																	
ACADL_MOUSE	Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2	48 kDa	0.33			0	0	0	0	1.1215	0.2243	0	0	0	1.1684	0.2921	0	0.9323	0	0	0.2331	0.8149	0.7987	0.8917	0.8351	48 kDa	0.033		10.539	11.181	15.263	8.7565	11.838	11.5155	10.525	6.246	4.8365	5.5158	6.7808	7.8929	10.284	10.595	6.4949	8.8167	13.542	9.9946	10.705	11.4139	P51174																	
ACADM_MOUSE	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadm PE=1 SV=1	46 kDa	0.73			0	0	0	0	1.1215	0.2243	0	0	0	2.3367	0.5842	0	0.9323	0	0	0.2331	0	0	0	0	46 kDa	0.0066		7.0259	6.8806	11.671	7.662	4.3049	7.5089	2.3388	0	1.2091	0	0.887	5.6378	6.5446	5.2977	0	4.37	11.152	5.9968	6.4227	7.8572	P45952																	
ACADS_MOUSE	Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acads PE=1 SV=2	45 kDa	0.078			0	0	0	0	0	0	0	0	0	0	0	0.9476	0	0	1.2245	0.543	0	0	0	0	45 kDa	0.014		0.8782	2.5802	5.3868	2.1891	1.0762	2.4221	0	0	0	0	0	3.3827	2.8048	3.1786	1.0825	2.6122	3.1863	2.9984	3.2114	3.132	Q07417																	
ACADV_MOUSE	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3	71 kDa	0.99			6.7	1.731	5.4821	4.6588	0	3.7144	0	1.731	5.4821	10.515	4.432	3.7902	4.6613	7.071	1.2245	4.1868	6.5194	3.1946	1.7833	3.8324	71 kDa	0.028		24.591	23.222	26.934	18.608	26.905	24.052	22.219	14.99	4.8365	4.4126	11.6145	19.169	30.853	23.31	18.402	22.9335	20.711	18.99	17.127	18.9427	P50544																	
ACO13_MOUSE	Acyl-coenzyme A thioesterase 13 OS=Mus musculus GN=Acot13 PE=1 SV=1	15 kDa	0.4			0	0	0	0	0	0	0	0	0	1.1684	0.2921	0	0	0	0	0	1.6298	0	0	0.5433	15 kDa	0.38		3.513	6.8806	4.489	6.5674	4.3049	5.151	4.6776	2.4984	6.0456	0	3.3054	5.6378	3.7398	3.1786	3.2475	3.9509	3.9828	2.9984	3.2114	3.3975	Q9CQR4																	
ACON_MOUSE	Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1	85 kDa	0.29			16.271	12.983	15.35	12.812	14.579	14.399	8.8455	12.983	15.35	0	9.2946	18.003	23.306	8.0811	14.694	16.021	16.298	11.181	8.0248	11.8346	85 kDa	0.0028		57.086	59.346	61.949	78.809	53.811	62.2002	76.012	58.713	93.102	75.015	75.7105	46.23	52.356	45.56	37.887	45.5083	50.98	46.975	38.536	45.497	Q99KI0	TCA_Cycle	TCA_Cycle														TCA_Cycle	Aco2
ACSL1_MOUSE	Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus GN=Acsl1 PE=1 SV=2	78 kDa	0.79			1.9143	2.5966	4.3856	0	2.243	2.2279	0.9828	2.5966	4.3856	0	1.9913	2.8426	4.6613	2.0203	2.449	2.9933	3.2597	2.3959	1.7833	2.4796	78 kDa	0.91		9.6607	8.6008	8.0802	10.946	17.219	10.9013	11.694	6.246	16.928	8.8253	10.9233	14.658	8.4144	12.715	9.7424	11.3825	14.338	5.9968	7.4932	9.276	P41216																	
ACTBL_MOUSE	Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1	42 kDa	0.53			156.97	146.27	163.37	104.82	162.61	146.808	155.29	146.27	163.37	105.15	142.52	105.18	151.96	163.64	102.86	130.91	140.17	169.31	172.09	160.5233	42 kDa	0.068		167.74	156.53	135.57	149.96	136.68	149.296	153.19	176.14	168.07	163.27	165.1675	156.73	169.22	179.06	201.34	176.5875	152.94	161.91	168.06	160.97	Q8BFZ3	Chemokine_Cytokine_Signaling, Cytoskeleton, Huntington, Integrin, Nicotinic_Acetylcholine	Cytoskeleton			Chemokine_Cytokine_Signaling	Cytoskeleton					Huntington	Integrin	Nicotinic_Acetylcholine				Actbl2
ACTG_MOUSE 	Actin, cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1	42 kDa	0.41			356.06	334.09	332.21	255.07	344.29	324.344	375.44	334.09	332.21	281.57	330.8275	243.52	316.97	330.32	246.12	284.2325	268.92	325.05	339.72	311.23	42 kDa	0.95		368.86	353.49	350.14	375.44	291.65	347.916	315.74	344.78	343.39	382.8	346.6775	325.87	311.33	347.53	365.88	337.6525	312.25	359.81	351.11	341.0567	P63260																	
ACTN1_MOUSE	Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1	103 kDa	0.59	Integrin		51.686	57.99	53.724	52.411	32.523	49.6668	34.399	57.99	53.724	1.1684	36.8204	36.007	24.239	36.365	56.327	38.2345	45.636	64.69	35.666	48.664	103 kDa	0.2		104.51	88.588	85.291	102.89	87.173	93.6904	86.536	111.18	122.12	92.665	103.1253	101.48	84.144	112.31	124.49	105.606	149.75	124.93	94.2	122.96	Q7TPR4	Integrin	Integrin										Integrin					Actn1
ACTN2_MOUSE	Alpha-actinin-2 OS=Mus musculus GN=Actn2 PE=1 SV=2	104 kDa	0.67	Integrin		8.6143	10.386	14.253	13.976	8.9719	11.2402	5.897	10.386	14.253	0	7.634	8.5279	5.5935	10.101	17.143	10.3414	10.594	14.376	7.1332	10.7011	104 kDa	0.97		42.156	43.864	48.481	62.39	51.658	49.7098	51.454	37.476	72.547	43.023	51.125	54.123	52.356	52.977	54.124	53.395	70.894	52.971	34.254	52.7063	Q9JI91	Integrin	Integrin										Integrin					Actn2
ACTN4_MOUSE	Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1	105 kDa	0.48	Integrin		27.757	31.159	27.41	32.611	20.187	27.8248	16.708	31.159	27.41	1.1684	19.1114	18.951	12.119	18.183	34.286	20.8848	24.448	36.738	19.616	26.934	105 kDa	0.26		64.99	53.325	54.766	73.336	52.734	59.8302	60.809	74.952	87.056	56.261	69.7695	64.271	53.291	66.751	74.692	64.7513	96.385	79.957	58.875	78.4057	P57780	Integrin	Integrin										Integrin					Actn4
ADIPO_MOUSE	Adiponectin OS=Mus musculus GN=Adipoq PE=1 SV=2	27 kDa	0.27	ECM		4.7857	5.1931	4.3856	3.4941	2.243	4.0203	0	5.1931	4.3856	2.3367	2.9789	1.8951	1.8645	3.0304	1.2245	2.0036	3.2597	3.1946	0.8917	2.4487	27 kDa	0.66		2.6347	4.3004	3.5912	2.1891	0	2.5431	0	0	0	3.3095	0.8274	6.7654	1.8699	0	0	2.1588	2.3897	1.9989	1.0705	1.8197	Q60994																	
ADT1_MOUSE	ADP/ATP translocase 1 OS=Mus musculus GN=Slc25a4 PE=1 SV=4	33 kDa	0.0007			13.4	13.848	9.8677	8.1528	12.336	11.5209	8.8455	13.848	9.8677	11.684	11.0613	3.7902	6.5258	3.0304	8.5714	5.4795	13.854	18.369	16.05	16.091	33 kDa	0.0024		50.06	61.926	47.584	40.499	61.344	52.2826	26.896	22.486	31.437	35.301	29.03	45.102	51.422	38.144	38.97	43.4095	42.218	38.979	37.466	39.5543	P48962																	
ADT2_MOUSE	ADP/ATP translocase 2 OS=Mus musculus GN=Slc25a5 PE=1 SV=3	33 kDa	0.0023			7.6571	11.252	13.157	6.9882	10.093	9.8295	9.8283	11.252	13.157	12.852	11.7723	5.6853	5.5935	5.0507	6.1225	5.613	8.9641	11.98	10.7	10.548	33 kDa	0.001		30.738	34.403	30.525	26.27	30.134	30.414	16.372	14.99	20.555	19.857	17.9435	28.189	25.243	19.072	18.402	22.7265	25.49	20.989	21.409	22.6293	P51881																	
ALDH2_MOUSE	Aldehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1	57 kDa	0.07			22.014	27.697	26.314	29.117	26.916	26.4116	12.777	27.697	26.314	25.704	23.123	26.531	22.374	27.274	24.49	25.1673	15.483	18.369	19.616	17.8227	57 kDa	0.27		26.347	24.942	22.445	27.364	9.6859	22.1568	22.219	11.243	16.928	19.857	17.5618	15.786	15.894	22.25	16.237	17.5418	13.542	15.991	14.986	14.8397	P47738																	
ALDOA_MOUSE	Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2	39 kDa	0.27			8.6143	11.252	4.3856	3.4941	4.4859	6.4464	3.9313	11.252	4.3856	2.3367	5.4764	5.6853	2.7968	3.0304	1.2245	3.1843	3.2597	2.3959	2.6749	2.7768	39 kDa	0.023		4.3912	5.1605	4.489	7.662	5.3811	5.4168	4.6776	0	1.2091	0	1.4717	4.5102	3.7398	4.2382	1.0825	3.3927	5.576	6.9962	3.2114	5.2612	P05064	Glycolysis	Glycolysis								Glycolysis							Aldoa Aldo1
ALDR_MOUSE	Aldose reductase OS=Mus musculus GN=Akr1b1 PE=1 SV=3	36 kDa	0.072			7.6571	2.5966	5.4821	5.8235	8.9719	6.1062	0	2.5966	5.4821	2.3367	2.6039	4.7377	3.729	4.0406	2.449	3.7391	5.7044	4.7919	5.3499	5.2821	36 kDa	0.0023		1.7565	1.7202	1.7956	0	2.1524	1.4849	1.1694	0	0	0	0.2924	2.2551	2.8048	2.1191	2.165	2.336	3.1863	1.9989	2.1409	2.442	P45376																	
AMPN_MOUSE	Aminopeptidase N OS=Mus musculus GN=Anpep PE=1 SV=4	110 kDa	0.25			0	0	0	0	0	0	0	0	0	0	0	0.9476	1.8645	0	0	0.703	0	1.5973	0	0.5324	110 kDa	0.44		0	0	0	1.0946	0	0.2189	0	0	0	0	0	0	0	0	0	0	1.5931	0	0	0.531	P97449																	
ANT3_MOUSE	Antithrombin-III OS=Mus musculus GN=Serpinc1 PE=1 SV=1	52 kDa	0.087	ECM		3.8286	3.4621	2.1928	4.6588	0	2.8285	4.9142	3.4621	2.1928	5.8418	4.1027	3.7902	5.5935	2.0203	1.2245	3.1571	0.8149	0.7987	0	0.5379	52 kDa	0.0054		14.93	13.761	8.978	5.4728	7.5335	10.1351	2.3388	2.4984	1.2091	2.2063	2.0632	9.0205	5.6096	7.4168	5.4124	6.8648	7.9657	8.9951	5.3523	7.4377	P32261	Blood_Coagulation	Blood_Coagulation		Blood_Coagulation													Serpinc1 At3
APOA1_MOUSE	Apolipoprotein A-I OS=Mus musculus GN=Apoa1 PE=1 SV=2	31 kDa	0.26			2.8714	1.731	4.3856	2.3294	2.243	2.7121	1.9657	1.731	4.3856	2.3367	2.6048	1.8951	3.729	6.0608	3.6735	3.8396	1.6298	2.3959	1.7833	1.9363	31 kDa	0.0033		4.3912	2.5802	5.3868	5.4728	6.4573	4.8577	2.3388	0	0	1.1032	0.8605	5.6378	3.7398	4.2382	4.3299	4.4864	5.576	2.9984	7.4932	5.3559	Q00623																	
APOA4_MOUSE	Apolipoprotein A-IV OS=Mus musculus GN=Apoa4 PE=2 SV=3	45 kDa	0.54			0.9571	0.8655	1.0964	0	1.1215	0.8081	0	0.8655	1.0964	0	0.4905	0.9476	1.8645	1.0101	0	0.9555	0.8149	1.5973	0.8917	1.1013	45 kDa	0.2		0	0	0	0	1.0762	0.2152	0	0	0	0	0	0	0.9349	0	0	0.2337	0.7966	0	2.1409	0.9792	P06728																	
ARF4_MOUSE	ADP-ribosylation factor 4 OS=Mus musculus GN=Arf4 PE=1 SV=2	20 kDa	0.17			0	0	0	0	5.6074	1.1215	0.9828	0	0	1.1684	0.5378	3.7902	3.729	3.0304	2.449	3.2497	3.2597	0	2.6749	1.9782	20 kDa	0.33		0	0	0	0	2.1524	0.4305	0	0	0	0	0	0	0	3.1786	2.165	1.3359	0	0	1.0705	0.3568	P61750	Huntington	Huntington									Huntington						Arf4
ARP2_MOUSE	Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1	45 kDa	0.78			1.9143	2.5966	0	1.1647	2.243	1.5837	0.9828	2.5966	0	0	0.8949	2.8426	0	1.0101	0	0.9632	0.8149	2.3959	0.8917	1.3675	45 kDa	0.24		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0	0	0.2655	P61161	Huntington	Huntington									Huntington						Actr2 Arp2
ARP3_MOUSE	Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3	47 kDa	0.11			3.8286	3.4621	3.2892	1.1647	4.4859	3.2461	1.9657	3.4621	3.2892	0	2.1793	2.8426	3.729	3.0304	1.2245	2.7066	0	1.5973	0.8917	0.8297	47 kDa	0.19		0.8782	0	0	0	0	0.1756	0	0	0	0	0	1.1276	0	0	2.165	0.8232	0	0	0	0	Q99JY9																	
ARP5L_MOUSE	Actin-related protein 2/3 complex subunit 5-like protein OS=Mus musculus GN=Arpc5l PE=1 SV=1	17 kDa	0.051			0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0.9476	0.9323	4.0406	1.2245	1.7862	0	0	0.8917	0.2972	17 kDa	0.24		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332	Q9D898	Chemokine_Cytokine_Signaling, Huntington, Integrin	Huntington			Chemokine_Cytokine_Signaling						Huntington	Integrin					Arpc5l
ARPC2_MOUSE	Actin-related protein 2/3 complex subunit 2 OS=Mus musculus GN=Arpc2 PE=1 SV=3	34 kDa	0.75	Cytoskeleton,Integrin		0	0.8655	1.0964	1.1647	2.243	1.0739	0	0.8655	1.0964	1.1684	0.7826	0.9476	1.8645	0	0	0.703	2.4448	1.5973	0	1.3474	34 kDa	0.015		0.8782	0.8601	0.8978	2.1891	0	0.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Q9CVB6	Chemokine_Cytokine_Signaling, Cytoskeleton, Integrin	Cytoskeleton			Chemokine_Cytokine_Signaling	Cytoskeleton						Integrin					Arpc2
ARPC3_MOUSE	Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3	21 kDa	0.014	Cytoskeleton,Integrin		0.9571	0.8655	0	1.1647	3.3644	1.2704	0	0.8655	0	2.3367	0.8006	2.8426	4.6613	4.0406	3.6735	3.8045	2.4448	0	2.6749	1.7066	21 kDa	0.19		0.8782	0	0	0	0	0.1756	0	0	0	0	0	0	0.9349	2.1191	1.0825	1.0341	0	0	2.1409	0.7136	Q9JM76	Chemokine_Cytokine_Signaling, Cytoskeleton, Integrin	Cytoskeleton			Chemokine_Cytokine_Signaling	Cytoskeleton						Integrin					Arpc3
ARPC4_MOUSE	Actin-related protein 2/3 complex subunit 4 OS=Mus musculus GN=Arpc4 PE=1 SV=3	20 kDa	0.042	Cytoskeleton		3.8286	4.3276	4.3856	2.3294	6.7289	4.32	0	4.3276	4.3856	5.8418	3.6388	7.5804	6.5258	10.101	6.1225	7.5824	4.0746	3.1946	5.3499	4.2064	20 kDa	< 0.00010		0.8782	0.8601	0	2.1891	3.2286	1.4312	0	0	0	0	0	5.6378	3.7398	6.3573	5.4124	5.2868	1.5931	2.9984	2.1409	2.2441	P59999	Chemokine_Cytokine_Signaling, Cytoskeleton	Cytoskeleton			Chemokine_Cytokine_Signaling	Cytoskeleton											Arpc4 Arc20
ARPC5_MOUSE	Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3	16 kDa	0.53			1.9143	3.4621	1.0964	1.1647	2.243	1.9761	0	3.4621	1.0964	2.3367	1.7238	2.8426	1.8645	4.0406	2.449	2.7992	1.6298	1.5973	2.6749	1.9673	16 kDa	0.1		0	0.8601	0	0	1.0762	0.3873	0	0	0	0	0	0	0.9349	1.0595	3.2475	1.3105	0.7966	0.9995	2.1409	1.3123	Q9CPW4	Chemokine_Cytokine_Signaling, Cytoskeleton, Huntington, Integrin	Cytoskeleton			Chemokine_Cytokine_Signaling	Cytoskeleton					Huntington	Integrin					Arpc5
AT1A1_MOUSE	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1	113 kDa	0.79			4.7857	4.3276	2.1928	1.1647	0	2.4942	0	4.3276	2.1928	0	1.6301	3.7902	1.8645	1.0101	1.2245	1.9723	5.7044	1.5973	1.7833	3.0283	113 kDa	0.055		5.2694	4.3004	5.3868	5.4728	4.3049	4.9469	8.1859	4.9968	9.6729	5.5158	7.0929	3.3827	5.6096	5.2977	4.3299	4.655	4.7794	4.9973	2.1409	3.9725	Q8VDN2																	
AT2A2_MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus GN=Atp2a2 PE=1 SV=2	115 kDa	0.41			5.7428	6.0587	4.3856	5.8235	1.1215	4.6264	4.9142	6.0587	4.3856	2.3367	4.4238	8.5279	6.5258	12.122	2.449	7.4062	8.1492	7.1878	2.6749	6.004	115 kDa	0.045		26.347	36.983	37.708	45.972	33.363	36.0746	49.115	34.978	65.292	45.23	48.6538	40.592	34.593	45.56	31.392	38.0343	35.845	25.986	16.057	25.9627	O55143																	
AT5F1_MOUSE	ATP synthase F(0) complex subunit B1, mitochondrial OS=Mus musculus GN=Atp5f1 PE=1 SV=1	29 kDa	0.36			1.9143	3.4621	0	4.6588	3.3644	2.6799	0	3.4621	0	1.1684	1.1576	0	0	1.0101	2.449	0.8648	3.2597	3.1946	0	2.1514	29 kDa	0.031		8.7824	7.7407	8.978	8.7565	7.5335	8.3582	10.525	3.7476	3.6273	6.619	6.1297	4.5102	4.6747	5.2977	2.165	4.1619	4.7794	3.9978	6.4227	5.0666	Q9CQQ7																	
ATP5H_MOUSE	ATP synthase subunit d, mitochondrial OS=Mus musculus GN=Atp5h PE=1 SV=3	19 kDa	0.24			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8149	0	0	0.2716	19 kDa	0.23		0.8782	6.8806	3.5912	2.1891	4.3049	3.5688	2.3388	0	3.6273	1.1032	1.7673	2.2551	2.8048	2.1191	0	1.7948	5.576	2.9984	3.2114	3.9286	Q9DCX2																	
ATP5I_MOUSE	ATP synthase subunit e, mitochondrial OS=Mus musculus GN=Atp5i PE=1 SV=2	8 kDa	0.32			0.9571	0.8655	1.0964	1.1647	1.1215	1.0411	1.9657	0.8655	1.0964	1.1684	1.274	0.9476	1.8645	2.0203	1.2245	1.5142	0.8149	2.3959	1.7833	1.6647	8 kDa	1		8.7824	8.6008	8.978	10.946	12.915	10.0444	18.711	12.492	7.2547	0	9.6144	12.403	12.154	8.4764	5.4124	9.6115	8.7622	9.9946	11.775	10.1773	Q06185																	
