Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN		Entry	All_Pathways	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
K1C16_MOUSE	"Keratin, type I cytoskeletal 16 OS=Mus musculus GN=Krt16 PE=1 SV=3"	52 kDa	0.0005	14.93	20.642	21.547	12.04	5.3811	14.908	10.525	9.9936	13.3	17.651	12.8674	0	3.7398	1.0595	0	1.1998	0	0	0	0		Q9Z2K1															
1433Z_MOUSE	14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1	28 kDa	0.0005	14.052	12.901	11.671	10.946	8.6097	11.6359	0	4.9968	1.2091	8.8253	3.7578	13.531	11.219	11.655	12.99	12.3488	13.542	16.991	12.845	14.4593		P63101	Parkinson												Parkinson		
COX6C_MOUSE	Cytochrome c oxidase subunit 6C OS=Mus musculus GN=Cox6c PE=1 SV=3	8 kDa	0.0005	2.6347	1.7202	2.6934	2.1891	2.1524	2.278	7.0164	6.246	6.0456	2.2063	5.3786	1.1276	0.9349	0	1.0825	0.7863	1.5931	0.9995	0	0.8642		Q9CPQ1															
TPM2_MOUSE	Tropomyosin beta chain OS=Mus musculus GN=Tpm2 PE=1 SV=1	33 kDa	0.0006	71.138	55.905	56.562	80.998	47.353	62.3912	36.252	44.971	42.319	52.952	44.1235	48.485	33.658	56.156	37.887	44.0465	74.877	95.948	98.482	89.769		P58774															
TPM3_MOUSE	Tropomyosin alpha-3 chain OS=Mus musculus GN=Tpm3 PE=1 SV=3	33 kDa	0.0007	36.008	30.963	35.912	42.688	27.982	34.7106	28.066	31.23	31.437	30.888	30.4053	24.806	17.764	24.37	20.567	21.8768	38.235	42.977	56.734	45.982		P21107															
CX7A2_MOUSE	"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Mus musculus GN=Cox7a2 PE=1 SV=2"	9 kDa	0.0007	0.8782	1.7202	0.8978	0	0	0.6992	2.3388	3.7476	6.0456	2.2063	3.5846	0	0	0	0	0	0	0	0	0		P48771															
TBB3_MOUSE	Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1	50 kDa	0.0008	19.321	18.062	14.365	17.513	13.991	16.6504	5.847	11.243	10.882	18.754	11.6815	24.806	21.504	27.548	31.392	26.3125	19.914	21.988	21.409	21.1037		Q9ERD7	"Cytoskeleton, Huntington"				Cytoskeleton					Huntington					
NDUA2_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Mus musculus GN=Ndufa2 PE=1 SV=3	11 kDa	0.0008	0	0.8601	0.8978	1.0946	0	0.5705	1.1694	2.4984	2.4182	1.1032	1.7973	0	0	0	0	0	0	0	0	0		Q9CQ75															
ANXA4_MOUSE	Annexin A4 OS=Mus musculus GN=Anxa4 PE=2 SV=4	36 kDa	0.0009	0	0.8601	1.7956	1.0946	1.0762	0.9653	0	0	0	0	0	0	0	0	0	0	1.5931	0.9995	2.1409	1.5778		P97429															
MYH9_MOUSE	Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4	226 kDa	0.001	43.034	36.983	24.241	40.499	32.286	35.4086	67.826	79.949	73.756	49.642	67.7933	55.251	44.877	43.441	57.372	50.2353	43.811	43.976	37.466	41.751		Q8VDD5	"Chemokine_Cytokine_Signaling, Cytoskeleton"			Chemokine_Cytokine_Signaling	Cytoskeleton										
TAGL_MOUSE	Transgelin OS=Mus musculus GN=Tagln PE=1 SV=3	23 kDa	0.001	91.337	95.469	118.51	117.12	130.22	110.5312	107.59	53.716	43.528	58.467	65.8253	128.54	127.15	143.04	188.35	146.77	130.64	172.91	172.34	158.63		P37804															
ADT2_MOUSE	ADP/ATP translocase 2 OS=Mus musculus GN=Slc25a5 PE=1 SV=3	33 kDa	0.001	30.738	34.403	30.525	26.27	30.134	30.414	16.372	14.99	20.555	19.857	17.9435	28.189	25.243	19.072	18.402	22.7265	25.49	20.989	21.409	22.6293		P51881															
PDLI1_MOUSE	PDZ and LIM domain protein 1 OS=Mus musculus GN=Pdlim1 PE=2 SV=4	36 kDa	0.001	2.6347	0.8601	0.8978	0	1.0762	1.0938	0	0	0	0	0	1.1276	0	0	0	0.2819	4.7794	2.9984	2.1409	3.3062		O70400															
1433E_MOUSE	14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1	29 kDa	0.0011	7.9042	5.1605	7.1824	6.5674	7.5335	6.8696	0	4.9968	2.4182	5.5158	3.2327	12.403	7.4795	8.4764	8.6599	9.2547	9.5588	10.994	9.6341	10.0623		P62259	Parkinson												Parkinson		
CSPG2_MOUSE	Versican core protein OS=Mus musculus GN=Vcan PE=1 SV=2	367 kDa	0.0011	0	0	0	0	0	0	22.219	19.987	9.6729	45.23	24.2772	0	0	0	0	0	0	0	0	0		Q62059															
GDIR1_MOUSE	Rho GDP-dissociation inhibitor 1 OS=Mus musculus GN=Arhgdia PE=1 SV=3	23 kDa	0.0011	3.513	4.3004	3.5912	2.1891	2.1524	3.1492	0	0	1.2091	2.2063	0.8539	4.5102	4.6747	3.1786	5.4124	4.444	3.1863	2.9984	4.2818	3.4888		Q99PT1															
RRAS_MOUSE	Ras-related protein R-Ras OS=Mus musculus GN=Rras PE=2 SV=1	24 kDa	0.0011	2.6347	3.4403	2.6934	2.1891	3.2286	2.8372	0	2.4984	1.2091	2.2063	1.4785	6.7654	4.6747	6.3573	5.4124	5.8025	4.7794	2.9984	7.4932	5.0903		P10833	"Chemokine_Cytokine_Signaling, Integrin"			Chemokine_Cytokine_Signaling							Integrin				
ANXA3_MOUSE	Annexin A3 OS=Mus musculus GN=Anxa3 PE=1 SV=4	36 kDa	0.0012	3.513	1.7202	2.6934	1.0946	3.2286	2.45	2.3388	1.2492	1.2091	1.1032	1.4751	2.2551	0.9349	3.1786	3.2475	2.404	5.576	6.9962	4.2818	5.618		O35639															
PRDX2_MOUSE	Peroxiredoxin-2 OS=Mus musculus GN=Prdx2 PE=1 SV=3	22 kDa	0.0013	6.1477	9.4609	5.3868	8.7565	11.838	8.318	5.847	1.2492	1.2091	0	2.0763	12.403	14.024	12.715	8.6599	11.9505	10.355	6.9962	13.916	10.4224		Q61171															
TBB6_MOUSE	Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1	50 kDa	0.0014	9.6607	10.321	5.3868	7.662	6.4573	7.8976	3.5082	6.246	6.0456	12.135	6.9837	16.913	12.154	15.893	17.32	15.57	11.152	11.994	10.705	11.2837		Q922F4	"Cytoskeleton, Huntington"				Cytoskeleton					Huntington					
PRDX3_MOUSE	"Thioredoxin-dependent peroxide reductase, mitochondrial OS=Mus musculus GN=Prdx3 PE=1 SV=1"	28 kDa	0.0015	5.2694	6.8806	6.2846	6.5674	5.3811	6.0766	3.5082	2.4984	0	2.2063	2.0532	10.148	9.3494	7.4168	4.3299	7.811	3.9828	4.9973	3.2114	4.0638		P20108															
GSTM1_MOUSE	Glutathione S-transferase Mu 1 OS=Mus musculus GN=Gstm1 PE=1 SV=2	26 kDa	0.0016	3.513	6.8806	7.1824	3.2837	5.3811	5.2482	1.1694	1.2492	2.4182	3.3095	2.0366	10.148	7.4795	5.2977	9.7424	8.1669	7.9657	5.9968	6.4227	6.7951		P10649															
G3P_MOUSE	Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2	36 kDa	0.0017	14.052	18.062	12.569	22.986	18.296	17.193	15.202	6.246	12.091	8.8253	10.5911	4.5102	9.3494	10.595	8.6599	8.2786	24.694	16.991	22.48	21.3883		P16858	"Glycolysis, Huntington"								Glycolysis	Huntington					
SYUG_MOUSE	Gamma-synuclein OS=Mus musculus GN=Sncg PE=1 SV=1	13 kDa	0.0019	2.6347	0.8601	3.5912	0	5.3811	2.4934	0	0	0	0	0	6.7654	5.6096	3.1786	11.907	6.8652	6.3725	10.994	7.4932	8.2866		Q9Z0F7	Parkinson												Parkinson		
RAB5C_MOUSE	Ras-related protein Rab-5C OS=Mus musculus GN=Rab5c PE=1 SV=2	23 kDa	0.002	0	0	0	0	1.0762	0.2152	0	0	0	0	0	2.2551	1.8699	1.0595	1.0825	1.5668	0	0.9995	0	0.3332		P35278															
ATPG_MOUSE	"ATP synthase subunit gamma, mitochondrial OS=Mus musculus GN=Atp5c1 PE=1 SV=1"	33 kDa	0.0021	8.7824	9.4609	7.1824	7.662	6.4573	7.909	0	0	0	7.7221	1.9305	3.3827	3.7398	3.1786	1.0825	2.8459	11.152	7.9957	7.4932	8.8803		Q91VR2	ATP_Synthesis	ATP_Synthesis													
CPT2_MOUSE	"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Mus musculus GN=Cpt2 PE=1 SV=2"	74 kDa	0.0021	2.6347	3.4403	4.489	2.1891	3.2286	3.1963	2.3388	0	0	0	0.5847	0	0.9349	2.1191	1.0825	1.0341	0	0.9995	0	0.3332		P52825															
PRDX1_MOUSE	Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1	22 kDa	0.0022	1.7565	3.4403	2.6934	5.4728	7.5335	4.1793	5.847	0	0	0	1.4618	9.0205	8.4144	8.4764	8.6599	8.6428	7.1691	4.9973	7.4932	6.5532		P35700															
ALDR_MOUSE	Aldose reductase OS=Mus musculus GN=Akr1b1 PE=1 SV=3	36 kDa	0.0023	1.7565	1.7202	1.7956	0	2.1524	1.4849	1.1694	0	0	0	0.2924	2.2551	2.8048	2.1191	2.165	2.336	3.1863	1.9989	2.1409	2.442		P45376															
ADT1_MOUSE	ADP/ATP translocase 1 OS=Mus musculus GN=Slc25a4 PE=1 SV=4	33 kDa	0.0024	50.06	61.926	47.584	40.499	61.344	52.2826	26.896	22.486	31.437	35.301	29.03	45.102	51.422	38.144	38.97	43.4095	42.218	38.979	37.466	39.5543		P48962															
MCAT_MOUSE	Mitochondrial carnitine/acylcarnitine carrier protein OS=Mus musculus GN=Slc25a20 PE=1 SV=1	33 kDa	0.0025	1.7565	1.7202	2.6934	1.0946	1.0762	1.6682	0	0	0	0	0	0	0	0	0	0	0.7966	0	2.1409	0.9792		Q9Z2Z6															
ACON_MOUSE	"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1"	85 kDa	0.0028	57.086	59.346	61.949	78.809	53.811	62.2002	76.012	58.713	93.102	75.015	75.7105	46.23	52.356	45.56	37.887	45.5083	50.98	46.975	38.536	45.497		Q99KI0	TCA_Cycle														TCA_Cycle
RAB1A_MOUSE	Ras-related protein Rab-1A OS=Mus musculus GN=Rab1A PE=1 SV=3	23 kDa	0.0029	1.7565	0	0.8978	2.1891	1.0762	1.1839	1.1694	0	0	0	0.2924	4.5102	1.8699	2.1191	4.3299	3.2073	3.1863	2.9984	2.1409	2.7752		P62821															
SEPT7_MOUSE	Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1	51 kDa	0.0032	0.8782	0	0.8978	0	0	0.3552	0	0	0	0	0	2.2551	1.8699	1.0595	1.0825	1.5668	0	0	1.0705	0.3568		O55131															
APOA1_MOUSE	Apolipoprotein A-I OS=Mus musculus GN=Apoa1 PE=1 SV=2	31 kDa	0.0033	4.3912	2.5802	5.3868	5.4728	6.4573	4.8577	2.3388	0	0	1.1032	0.8605	5.6378	3.7398	4.2382	4.3299	4.4864	5.576	2.9984	7.4932	5.3559		Q00623															
ECH1_MOUSE	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus GN=Ech1 PE=1 SV=1"	36 kDa	0.0033	6.1477	4.3004	4.489	3.2837	2.1524	4.0746	0	0	0	3.3095	0.8274	0	1.8699	1.0595	0	0.7324	3.9828	3.9978	3.2114	3.7307		O35459															
IGKC_MOUSE	Ig kappa chain C region OS=Mus musculus PE=1 SV=1	12 kDa	0.0037	0	0	0	0	0	0	67.826	52.467	42.319	0	40.653	0	0	0	0	0	0	0	0	0		P01837															
BCAM_MOUSE	Basal cell adhesion molecule OS=Mus musculus GN=Bcam PE=2 SV=1	68 kDa	0.0038	7.0259	8.6008	1.7956	3.2837	4.3049	5.0022	7.0164	13.741	9.6729	12.135	10.6413	3.3827	0.9349	2.1191	3.2475	2.4211	4.7794	9.9946	10.705	8.493		Q9R069															
FBLN5_MOUSE	Fibulin-5 OS=Mus musculus GN=Fbln5 PE=2 SV=1	50 kDa	0.0038	13.174	10.321	8.978	8.7565	10.762	10.3983	4.6776	7.4952	3.6273	3.3095	4.7774	11.276	8.4144	13.774	18.402	12.9666	10.355	18.99	17.127	15.4907		Q9WVH9															
HSPB1_MOUSE	Heat shock protein beta-1 OS=Mus musculus GN=Hspb1 PE=1 SV=3	23 kDa	0.0042	7.0259	6.8806	5.3868	8.7565	4.3049	6.4709	0	2.4984	2.4182	3.3095	2.0565	11.276	9.3494	5.2977	7.5774	8.3751	4.7794	8.9951	6.4227	6.7324		P14602															
K22O_MOUSE	"Keratin, type II cytoskeletal 2 oral OS=Mus musculus GN=Krt76 PE=2 SV=1"	63 kDa	0.0043	12.295	13.761	12.569	5.4728	10.762	10.972	14.033	4.9968	9.6729	16.547	11.3124	1.1276	4.6747	5.2977	0	2.775	3.9828	2.9984	2.1409	3.0407		Q3UV17															
PDLI3_MOUSE	PDZ and LIM domain protein 3 OS=Mus musculus GN=Pdlim3 PE=1 SV=1	34 kDa	0.0043	7.0259	4.3004	5.3868	7.662	6.4573	6.1665	1.1694	2.4984	1.2091	0	1.2192	5.6378	3.7398	3.1786	10.825	5.8453	8.7622	14.992	7.4932	10.4158		O70209															
K1C19_MOUSE	"Keratin, type I cytoskeletal 19 OS=Mus musculus GN=Krt19 PE=1 SV=1"	45 kDa	0.0044	3.513	16.342	15.263	8.7565	9.6859	10.7121	12.863	11.243	13.3	15.444	13.2125	10.148	8.4144	6.3573	0	6.2299	0	0.9995	0	0.3332		P19001															
PHB2_MOUSE	Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1	33 kDa	0.0045	1.7565	2.5802	0	0	0	0.8673	0	0	0	0	0	2.2551	0	3.1786	2.165	1.8997	3.9828	2.9984	3.2114	3.3975		O35129															
PPIA_MOUSE	Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus GN=Ppia PE=1 SV=2	18 kDa	0.0045	12.295	12.041	10.774	10.946	11.838	11.5788	12.863	9.9936	3.6273	5.5158	7.9999	15.786	14.024	11.655	25.98	16.8613	20.711	19.989	20.339	20.3463		P17742															
LUM_MOUSE	Lumican OS=Mus musculus GN=Lum PE=1 SV=2	38 kDa	0.0046	14.93	14.621	10.774	9.8511	8.6097	11.7572	18.711	17.489	16.928	29.785	20.7283	24.806	19.634	22.25	25.98	23.1675	12.745	18.99	13.916	15.217		P51885															
1433G_MOUSE	14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2	28 kDa	0.005	7.9042	6.8806	8.0802	6.5674	6.4573	7.1779	0	0	0	4.4126	1.1032	9.0205	6.5446	6.3573	0	5.4806	7.1691	8.9951	8.5636	8.2426		P61982	Parkinson												Parkinson		
CO4A2_MOUSE	Collagen alpha-2(IV) chain OS=Mus musculus GN=Col4a2 PE=2 SV=4	167 kDa	0.005	0.8782	1.7202	0	0	0	0.5197	0	0	0	0	0	3.3827	4.6747	1.0595	1.0825	2.5499	3.1863	1.9989	4.2818	3.1557		P08122	Integrin										Integrin				
ANT3_MOUSE	Antithrombin-III OS=Mus musculus GN=Serpinc1 PE=1 SV=1	52 kDa	0.0054	14.93	13.761	8.978	5.4728	7.5335	10.1351	2.3388	2.4984	1.2091	2.2063	2.0632	9.0205	5.6096	7.4168	5.4124	6.8648	7.9657	8.9951	5.3523	7.4377		P32261	Blood_Coagulation		Blood_Coagulation												
DEST_MOUSE	Destrin OS=Mus musculus GN=Dstn PE=1 SV=3	19 kDa	0.0054	2.6347	3.4403	5.3868	5.4728	7.5335	4.8936	7.0164	1.2492	1.2091	3.3095	3.1961	9.0205	9.3494	7.4168	11.907	9.4234	6.3725	5.9968	6.4227	6.264		Q9R0P5															
SLMAP_MOUSE	Sarcolemmal membrane-associated protein OS=Mus musculus GN=Slmap PE=1 SV=2	97 kDa	0.0054	3.513	1.7202	0.8978	1.0946	0	1.4451	0	0	0	0	0	2.2551	1.8699	6.3573	4.3299	3.7031	0	0	0	0		Q3URD3															
COX2_MOUSE	Cytochrome c oxidase subunit 2 OS=Mus musculus GN=Mtco2 PE=1 SV=1	26 kDa	0.0055	8.7824	8.6008	8.978	10.946	10.762	9.6138	3.5082	1.2492	3.6273	7.7221	4.0267	7.8929	8.4144	7.4168	8.6599	8.096	10.355	6.9962	5.3523	7.5678		P00405															
A1AT4_MOUSE	Alpha-1-antitrypsin 1-4 OS=Mus musculus GN=Serpina1d PE=2 SV=1	46 kDa	0.0063	7.9042	11.181	15.263	13.135	22.6	14.0166	2.3388	8.7444	1.2091	4.4126	4.1762	11.276	16.829	11.655	12.99	13.1875	3.1863	3.9978	8.5636	5.2492		Q00897	Blood_Coagulation		Blood_Coagulation												
CY1_MOUSE	"Cytochrome c1, heme protein, mitochondrial OS=Mus musculus GN=Cyc1 PE=1 SV=1"	35 kDa	0.0064	2.6347	3.4403	3.5912	1.0946	2.1524	2.5826	1.1694	0	0	3.3095	1.1197	0	0	0	1.0825	0.2706	5.576	2.9984	3.2114	3.9286		Q9D0M3	"ATP_Synthesis, Huntington"	ATP_Synthesis								Huntington					
MDHM_MOUSE	"Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3"	36 kDa	0.0065	57.086	83.428	83.496	86.471	64.573	75.0108	53.793	32.479	47.155	57.364	47.6978	46.23	64.511	63.573	59.537	58.4628	70.098	77.958	82.425	76.827		P08249	Pyruvate_Metabolism													Pyruvate_Metabolism	
ACADM_MOUSE	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadm PE=1 SV=1"	46 kDa	0.0066	7.0259	6.8806	11.671	7.662	4.3049	7.5089	2.3388	0	1.2091	0	0.887	5.6378	6.5446	5.2977	0	4.37	11.152	5.9968	6.4227	7.8572		P45952															
GRP78_MOUSE	78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3	72 kDa	0.0066	15.808	13.761	17.058	18.608	17.219	16.4908	23.388	24.984	29.019	50.745	32.034	18.041	12.154	15.893	17.32	15.852	15.135	11.994	6.4227	11.1839		P20029	Parkinson												Parkinson		
KV2A7_MOUSE	Ig kappa chain V-II region 26-10 OS=Mus musculus PE=1 SV=1	12 kDa	0.0066	0	0	0	0	0	0	67.826	47.47	32.646	0	36.9855	0	0	0	0	0	0	0	0	0		P01631															
